Epoch,First Derivative Mean Motion,Inclination (degrees),Right Ascension of the Ascending Node (degrees),Argument of Perigee (degrees),Mean Anomaly (degrees),Eccentricity,Mean Motion (revolutions per day),Revolution Number at Epoch
2023-07-21,0.00012676166666666667,51.641016666666665,158.90995,70.01488333333333,185.78209999999999,4.695e-05,15.499120143333334,40709.833333333336
2023-07-22,0.0001193,51.6411,155.4137,72.9869,282.0755,5.23e-05,15.49927938,40720.0
2023-07-24,0.00012724,51.6417,143.2886,81.2371,260.8567,4.22e-05,15.49994356,40758.0
2023-07-25,0.00013139,51.6396,139.7648,55.6182,304.483,2.43e-05,15.50013867,40769.0
2023-07-26,0.000153725,51.64075,133.17444999999998,51.49325,172.60755,4.34e-05,15.50055661,40790.0
2023-07-27,0.00047269428571428574,51.64041428571428,128.9963857142857,87.4864,217.23067142857144,8.910000000000001e-05,15.500043884285715,40803.42857142857
2023-07-28,0.000416885,51.64015,123.84133750000001,149.6039125,202.5094,0.0001275,15.4985738575,40819.5
2023-07-29,0.00037035,51.64075,119.17241666666666,148.69993333333332,199.26365,0.00011296666666666667,15.498820523333334,40834.166666666664
2023-07-30,0.000179312,51.6404,114.52601999999999,141.11322,151.45524,0.00010184,15.499125776,40848.6
2023-07-31,0.00018867000000000002,51.64091666666667,109.58998333333334,144.6898,264.13966666666664,0.00010811666666666666,15.499525486666668,40864.166666666664
2023-08-01,0.000192856,51.64124,104.38181999999999,146.61007999999998,274.35626,0.00010402,15.499951964000001,40880.4
2023-08-02,0.00018115571428571427,51.64107142857143,99.40832857142857,149.22001428571429,233.42345714285716,8.412857142857142e-05,15.500320434285713,40896.0
2023-08-03,0.0001935975,51.6408,94.04825,159.039325,291.877,9.6925e-05,15.5007200025,40912.875
2023-08-04,0.000169064,51.64104,89.02698000000001,160.55548000000002,287.78576000000004,9.286e-05,15.501016342,40928.6
2023-08-05,0.0001833375,51.640875,84.0191125,162.91128750000001,249.8270875,8.7175e-05,15.50137817625,40944.25
2023-08-06,0.0018790099999999998,51.64195,79.066575,150.37355,221.05985,6.7225e-05,15.5006592125,40959.75
2023-08-07,4.579833333333334e-05,51.6413,74.40458333333333,62.37498333333334,103.44108333333334,3.0183333333333336e-05,15.500128095,40974.333333333336
2023-08-08,0.00020516571428571428,51.642,69.81427142857143,50.835885714285716,100.27311428571429,3.8485714285714284e-05,15.500468960000001,40988.71428571428
2023-08-09,0.00032960625,51.642275,65.130825,88.084175,102.2452625,4.1775e-05,15.500690765,41003.375
2023-08-10,0.00013928571428571427,51.641685714285714,59.61797142857143,121.66737142857143,102.30697142857142,2.4485714285714286e-05,15.500896807142857,41020.57142857143
2023-08-11,0.0003787016666666667,51.64128333333334,54.44338333333334,177.23923333333335,160.33001666666667,0.00013018333333333334,15.498405643333333,41036.833333333336
2023-08-12,-0.00024202,51.6408,49.3152875,294.8188125,174.9682875,0.00032905,15.492802335,41052.875
